,공고번호,입찰날짜,낙찰하한율,연면적,대지면적,기초금액,예가율
1,20220715947,2022-07-22,0.8295,71324.0,9982.0,1725872660.0,1.00919
2,20220712050,2022-07-21,0.8295,82440.0,24025.0,2043800521.0,0.993055
3,20220709546,2022-07-21,0.8295,65825.0,16268.0,1721992213.0,1.003508
4,20220713644,2022-07-21,0.8045,109668.0,9283.0,3487402271.0,0.98905
5,20220642641,2022-07-19,0.8045,148228.0,52642.0,3292843000.0,0.989215
6,20220708934,2022-07-19,0.7295,218441.0,88191.0,3655344430.0,1.010273
7,20220703982,2022-07-19,0.8045,170523.0,59422.0,4292311251.0,0.99097
8,20220703909,2022-07-19,0.8045,165975.0,53120.0,4124085067.0,1.010045
9,20220636801,2022-07-18,0.8045,139161.0,47838.0,4232348397.0,0.99585
10,20220705164,2022-07-15,0.8045,128069.0,35431.0,3257719592.0,0.985925
11,20220703007,2022-07-15,0.8045,113280.0,42347.0,2550079715.0,1.006245
12,20220703064,2022-07-15,0.8045,101192.0,34541.0,2425661637.0,0.985348
13,20220642424,2022-07-13,0.8045,157599.0,45553.0,4084826269.0,0.996838
14,20220642351,2022-07-13,0.8045,134447.0,38619.0,3505517944.0,0.995143
15,20220704519,2022-07-12,0.8495,10876.0,8423.0,501567600.0,0.988893
16,20220632210,2022-07-12,0.7295,363149.0,111665.0,7788687000.0,0.993713
17,20220642963,2022-07-12,0.8295,21764.0,1594.0,827649000.0,1.00085
18,20220640664,2022-07-11,0.8495,42823.0,9667.0,1493099207.0,1.010158
19,20220639155,2022-07-08,0.8295,72957.0,11760.0,1658667561.0,0.99846
20,20220640190,2022-07-08,0.8045,155562.0,19239.0,4108558131.0,1.009845
21,20220631818,2022-07-04,0.8295,53245.0,15090.0,1288664226.0,0.984733
22,20220631730,2022-07-04,0.8295,20613.0,1895.0,774217997.0,1.009673
23,20220628156,2022-07-04,0.8295,81972.0,29258.0,1958108567.0,0.988565
24,20220626697,2022-07-04,0.8495,46911.0,16710.0,982705251.0,0.997863
25,20220632235,2022-07-01,0.7295,166761.0,45088.0,2741234960.0,1.002383
26,20220632359,2022-07-01,0.8045,114082.0,31211.0,1864903860.0,0.996365
27,20220630884,2022-07-01,0.8295,57187.0,13004.0,1742839420.0,0.995855
28,20220632349,2022-07-01,0.8495,37876.0,24028.0,1213634822.0,0.999843
29,20220625755,2022-06-30,0.8045,135884.0,40154.0,2175023128.0,0.991983
