ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(자)건축사사무소 태백
2012-09-03,1.0052587834757274,0.982383324574425,1.0200894401463176,1.0052587834757274,1.0052587834757274,-0.0036307059954286194,-0.0036307059954286194,-0.0036307059954286194,-0.0027149228125061932,-0.0027149228125061932,-0.0027149228125061932,-0.0009157831829224261,-0.0009157831829224261,-0.0009157831829224261,0.0,0.0,0.0,1.0016280774802988
2012-09-07,1.0051467313846887,0.9835886576321553,1.0225921144275087,1.0051467313846887,1.0051467313846887,-0.0019162332472615151,-0.0019162332472615151,-0.0019162332472615151,-0.0013771189775136795,-0.0013771189775136795,-0.0013771189775136795,-0.0005391142697478359,-0.0005391142697478359,-0.0005391142697478359,0.0,0.0,0.0,1.0032304981374272
2012-09-14,1.0049506402253712,0.984262291955787,1.0219388489559313,1.0049506402253712,1.0049506402253712,-0.001575806327139074,-0.001575806327139074,-0.001575806327139074,-0.0013771189775222865,-0.0013771189775222865,-0.0013771189775222865,-0.00019868734961678733,-0.00019868734961678733,-0.00019868734961678733,0.0,0.0,0.0,1.003374833898232
2012-09-18,1.0048385881343325,0.9856434276130337,1.0238502762618649,1.0048385881343325,1.0048385881343325,-0.00026022702236944297,-0.00026022702236944297,-0.00026022702236944297,-4.5126723789466656e-05,-4.5126723789466656e-05,-4.5126723789466656e-05,-0.00021510029857997622,-0.00021510029857997622,-0.00021510029857997622,0.0,0.0,0.0,1.004578361111963
2012-09-21,1.0047545490660534,0.9816455235611192,1.0222604031774352,1.0047545490660534,1.0047545490660534,-0.0016710380061739074,-0.0016710380061739074,-0.0016710380061739074,-0.0013771189775240223,-0.0013771189775240223,-0.0013771189775240223,-0.00029391902864988494,-0.00029391902864988494,-0.00029391902864988494,0.0,0.0,0.0,1.0030835110598795
2012-09-24,1.0046705099977744,0.9821222442160252,1.0205691582625425,1.0046705099977744,1.0046705099977744,-0.0031053914084853925,-0.0031053914084853925,-0.0031053914084853925,-0.0027149228125092407,-0.0027149228125092407,-0.0027149228125092407,-0.00039046859597615226,-0.00039046859597615226,-0.00039046859597615226,0.0,0.0,0.0,1.001565118589289
2012-09-25,1.0046424969750147,0.9850935885997356,1.022808119279047,1.0046424969750147,1.0046424969750147,-0.0004651397690896687,-0.0004651397690896687,-0.0004651397690896687,-4.512672378805529e-05,-4.512672378805529e-05,-4.512672378805529e-05,-0.0004200130453016134,-0.0004200130453016134,-0.0004200130453016134,0.0,0.0,0.0,1.0041773572059252
2012-09-26,1.004614483952255,0.9852819505577424,1.0241369273503074,1.004614483952255,1.004614483952255,-0.0004942749335251726,-0.0004942749335251726,-0.0004942749335251726,-4.823180283882901e-05,-4.823180283882901e-05,-4.823180283882901e-05,-0.0004460431306863436,-0.0004460431306863436,-0.0004460431306863436,0.0,0.0,0.0,1.0041202090187298
2012-09-28,1.004558457906736,0.9836206448848724,1.021915198338641,1.004558457906736,1.004558457906736,-0.0018601878447031257,-0.0018601878447031257,-0.0018601878447031257,-0.001377118977527448,-0.001377118977527448,-0.001377118977527448,-0.00048306886717567775,-0.00048306886717567775,-0.00048306886717567775,0.0,0.0,0.0,1.0026982700620328
2012-10-02,1.0044464058156972,0.9846789204670103,1.025538974440778,1.0044464058156972,1.0044464058156972,-0.0005199946865645204,-0.0005199946865645204,-0.0005199946865645204,-4.512672379152149e-05,-4.512672379152149e-05,-4.512672379152149e-05,-0.0004748679627729988,-0.0004748679627729988,-0.0004748679627729988,0.0,0.0,0.0,1.0039264111291326
2012-10-04,1.0043903797701779,0.9855344091185829,1.0242528151579093,1.0043903797701779,1.0043903797701779,-0.0006668420832847028,-0.0006668420832847028,-0.0006668420832847028,-0.000242713276907998,-0.000242713276907998,-0.000242713276907998,-0.00042412880637670474,-0.00042412880637670474,-0.00042412880637670474,0.0,0.0,0.0,1.0037235376868932
2012-10-05,1.0043623667474182,0.9831665861434229,1.022437686598359,1.0043623667474182,1.0043623667474182,-0.0017646687754616054,-0.0017646687754616054,-0.0017646687754616054,-0.00137711897751713,-0.00137711897751713,-0.00137711897751713,-0.00038754979794447536,-0.00038754979794447536,-0.00038754979794447536,0.0,0.0,0.0,1.0025976979719566
2012-10-09,1.0042503146563795,0.9846948500043116,1.0225281111106443,1.0042503146563795,1.0042503146563795,-0.00022707319718688113,-0.00022707319718688113,-0.00022707319718688113,-4.512672378923056e-05,-4.512672378923056e-05,-4.512672378923056e-05,-0.00018194647339765045,-0.00018194647339765045,-0.00018194647339765045,0.0,0.0,0.0,1.0040232414591925
2012-10-10,1.0042223016336198,0.9848101366230568,1.023834003674507,1.0042223016336198,1.0042223016336198,-0.00016877403107708332,-0.00016877403107708332,-0.00016877403107708332,-4.823180284026047e-05,-4.823180284026047e-05,-4.823180284026047e-05,-0.00012054222823682289,-0.00012054222823682289,-0.00012054222823682289,0.0,0.0,0.0,1.0040535276025426
2012-10-12,1.0041662755881005,0.9828383772891552,1.0231117048097083,1.0041662755881005,1.0041662755881005,-0.0013709506056430916,-0.0013709506056430916,-0.0013709506056430916,-0.0013771189775257375,-0.0013771189775257375,-0.0013771189775257375,6.168371882646077e-06,6.168371882646077e-06,6.168371882646077e-06,0.0,0.0,0.0,1.0027953249824573
2012-10-19,1.003970184428783,0.9840445151197649,1.0231169759253333,1.003970184428783,1.003970184428783,-0.0010083843835609976,-0.0010083843835609976,-0.0010083843835609976,-0.0013771189775222917,-0.0013771189775222917,-0.0013771189775222917,0.0003687345939612939,0.0003687345939612939,0.0003687345939612939,0.0,0.0,0.0,1.0029618000452218
2012-10-22,1.003886145360504,0.9814377217202314,1.0221924629861714,1.003886145360504,1.003886145360504,-0.0022793188113769272,-0.0022793188113769272,-0.0022793188113769272,-0.002714922812506699,-0.002714922812506699,-0.002714922812506699,0.0004356040011297716,0.0004356040011297716,0.0004356040011297716,0.0,0.0,0.0,1.001606826549127
2012-10-23,1.0038581323377442,0.9843041039857717,1.0223619453639416,1.0038581323377442,1.0038581323377442,0.0003986979443447907,0.0003986979443447907,0.0003986979443447907,-4.512672379128595e-05,-4.512672379128595e-05,-4.512672379128595e-05,0.00044382466813607663,0.00044382466813607663,0.00044382466813607663,0.0,0.0,0.0,1.0042568302820891
2012-10-25,1.0038021062922249,0.9849518446986761,1.024389121650694,1.0038021062922249,1.0038021062922249,0.00019829481179062255,0.00019829481179062255,0.00019829481179062255,-0.0002427132769021363,-0.0002427132769021363,-0.0002427132769021363,0.0004410080886927588,0.0004410080886927588,0.0004410080886927588,0.0,0.0,0.0,1.0040004011040156
2012-10-30,1.0036620411784267,0.9846060473620233,1.023088260403732,1.0036620411784267,1.0036620411784267,0.0003115983984936047,0.0003115983984936047,0.0003115983984936047,-4.512672378811456e-05,-4.512672378811456e-05,-4.512672378811456e-05,0.00035672512228171927,0.00035672512228171927,0.00035672512228171927,0.0,0.0,0.0,1.0039736395769203
2012-10-31,1.003634028155667,0.9850403599480145,1.0242742728076288,1.003634028155667,1.003634028155667,0.0002863300114133765,0.0002863300114133765,0.0002863300114133765,-4.823180284102459e-05,-4.823180284102459e-05,-4.823180284102459e-05,0.000334561814254401,0.000334561814254401,0.000334561814254401,0.0,0.0,0.0,1.0039203581670804
2012-11-14,1.0032418458370316,0.9847307373022651,1.0224220626592375,1.0032418458370316,1.0032418458370316,0.0003501755464973074,0.0003501755464973074,0.0003501755464973074,-4.8231802839691374e-05,-4.8231802839691374e-05,-4.8231802839691374e-05,0.0003984073493369988,0.0003984073493369988,0.0003984073493369988,0.0,0.0,0.0,1.003592021383529
2012-11-23,1.0029897286321947,0.9823693497794433,1.0223031829943217,1.0029897286321947,1.0029897286321947,-0.0008499870343642372,-0.0008499870343642372,-0.0008499870343642372,-0.0013771189775171153,-0.0013771189775171153,-0.0013771189775171153,0.000527131943152878,0.000527131943152878,0.000527131943152878,0.0,0.0,0.0,1.0021397415978304
2012-11-28,1.0028496635183963,0.984148127938101,1.0226443195670745,1.0028496635183963,1.0028496635183963,0.00019903623160506215,0.00019903623160506215,0.00019903623160506215,-4.8231802841122494e-05,-4.8231802841122494e-05,-4.8231802841122494e-05,0.0002472680344461846,0.0002472680344461846,0.0002472680344461846,0.0,0.0,0.0,1.0030486997500014
2012-12-05,1.0026535723590788,0.9814813966853155,1.021647868334533,1.0026535723590788,1.0026535723590788,-0.000729855348005128,-0.000729855348005128,-0.000729855348005128,-4.823180283810329e-05,-4.823180283810329e-05,-4.823180283810329e-05,-0.0006816235451670247,-0.0006816235451670247,-0.0006816235451670247,0.0,0.0,0.0,1.0019237170110737
2012-12-06,1.0026255593363191,0.9821144376806787,1.0211633118041556,1.0026255593363191,1.0026255593363191,-0.0010904113557862465,-0.0010904113557862465,-0.0010904113557862465,-0.0002427132769048417,-0.0002427132769048417,-0.0002427132769048417,-0.000847698078881405,-0.000847698078881405,-0.000847698078881405,0.0,0.0,0.0,1.001535147980533
2012-12-07,1.0025975463135595,0.9806755785722221,1.0199209187973053,1.0025975463135595,1.0025975463135595,-0.0023936547542991985,-0.0023936547542991985,-0.0023936547542991985,-0.0013771189775222768,-0.0013771189775222768,-0.0013771189775222768,-0.0010165357767769217,-0.0010165357767769217,-0.0010165357767769217,0.0,0.0,0.0,1.0002038915592604
