ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소
2012-08-31,1.0030405078463687,0.9910960314723523,1.0097995728127953,1.0030405078463687,1.0030405078463687,-0.0026139118473247768,-0.0026139118473247768,-0.0026139118473247768,-0.0017845210856174878,-0.0017845210856174878,-0.0017845210856174878,-0.0008293907617072892,-0.0008293907617072892,-0.0008293907617072892,0.0,0.0,0.0,1.000426595999044
2012-09-03,1.0030080598131865,0.9906335989104592,1.010041360446136,1.0030080598131865,1.0030080598131865,-0.0022806351367240453,-0.0022806351367240453,-0.0022806351367240453,-0.0017490092806149219,-0.0017490092806149219,-0.0017490092806149219,-0.0005316258561091238,-0.0005316258561091238,-0.0005316258561091238,0.0,0.0,0.0,1.0007274246764626
2012-09-06,1.0029756117800044,0.9910859668523575,1.0106517546890765,1.0029756117800044,1.0029756117800044,-0.001848479882719129,-0.001848479882719129,-0.001848479882719129,-0.0016514157764250701,-0.0016514157764250701,-0.0016514157764250701,-0.000197064106294059,-0.000197064106294059,-0.000197064106294059,0.0,0.0,0.0,1.0011271318972852
2012-09-14,1.0028890836915185,0.9911459298917236,1.0116053195244006,1.0028890836915185,1.0028890836915185,-0.0015143162354048954,-0.0015143162354048954,-0.0015143162354048954,-0.001784521085617803,-0.001784521085617803,-0.001784521085617803,0.00027020485021290774,0.00027020485021290774,0.00027020485021290774,0.0,0.0,0.0,1.0013747674561135
2012-09-18,1.0028458196472756,0.9911188075311511,1.01185629388099,1.0028458196472756,1.0028458196472756,-0.0015442422977430192,-0.0015442422977430192,-0.0015442422977430192,-0.0016540248995321404,-0.0016540248995321404,-0.0016540248995321404,0.00010978260178912111,0.00010978260178912111,0.00010978260178912111,0.0,0.0,0.0,1.0013015773495326
2012-09-21,1.0028133716140935,0.991076993672858,1.011133809625482,1.0028133716140935,1.0028133716140935,-0.0019247570371275819,-0.0019247570371275819,-0.0019247570371275819,-0.0017845210856223678,-0.0017845210856223678,-0.0017845210856223678,-0.000140235951505214,-0.000140235951505214,-0.000140235951505214,0.0,0.0,0.0,1.0008886145769658
2012-09-24,1.0027809235809113,0.9904851855108298,1.0103994118862427,1.0027809235809113,1.0027809235809113,-0.0021765126518885187,-0.0021765126518885187,-0.0021765126518885187,-0.0017490092806189109,-0.0017490092806189109,-0.0017490092806189109,-0.00042750337126960797,-0.00042750337126960797,-0.00042750337126960797,0.0,0.0,0.0,1.0006044109290229
2012-09-25,1.0027701075698505,0.9902576528483492,1.0103432664206142,1.0027701075698505,1.0027701075698505,-0.0021727548820373614,-0.0021727548820373614,-0.0021727548820373614,-0.0016540248995329878,-0.0016540248995329878,-0.0016540248995329878,-0.0005187299825043739,-0.0005187299825043739,-0.0005187299825043739,0.0,0.0,0.0,1.0005973526878131
2012-09-26,1.00275929155879,0.9904063369213773,1.010336477571718,1.00275929155879,1.00275929155879,-0.002330384437549188,-0.002330384437549188,-0.002330384437549188,-0.0017269117103099038,-0.0017269117103099038,-0.0017269117103099038,-0.000603472727239284,-0.000603472727239284,-0.000603472727239284,0.0,0.0,0.0,1.0004289071212407
2012-09-28,1.0027376595366684,0.9904559272823509,1.0107982804913096,1.0027376595366684,1.0027376595366684,-0.002529763231325078,-0.002529763231325078,-0.002529763231325078,-0.0017845210856227258,-0.0017845210856227258,-0.0017845210856227258,-0.0007452421457023525,-0.0007452421457023525,-0.0007452421457023525,0.0,0.0,0.0,1.0002078963053433
2012-10-02,1.0026943954924254,0.990601057916143,1.0101187318911393,1.0026943954924254,1.0026943954924254,-0.0025361689985461985,-0.0025361689985461985,-0.0025361689985461985,-0.0016540248995344676,-0.0016540248995344676,-0.0016540248995344676,-0.0008821440990117313,-0.0008821440990117313,-0.0008821440990117313,0.0,0.0,0.0,1.0001582264938793
2012-10-04,1.002672763470304,0.9907776748243158,1.0100138923103146,1.002672763470304,1.002672763470304,-0.0025245917211421573,-0.0025245917211421573,-0.0025245917211421573,-0.0016514157764263347,-0.0016514157764263347,-0.0016514157764263347,-0.0008731759447158224,-0.0008731759447158224,-0.0008731759447158224,0.0,0.0,0.0,1.000148171749162
2012-10-05,1.0026619474592433,0.9891984016683275,1.0100016324610745,1.0026619474592433,1.0026619474592433,-0.0026365755521897192,-0.0026365755521897192,-0.0026365755521897192,-0.0017845210856138674,-0.0017845210856138674,-0.0017845210856138674,-0.0008520544665758516,-0.0008520544665758516,-0.0008520544665758516,0.0,0.0,0.0,1.0000253719070535
2012-10-08,1.0026294994260612,0.9899493733715148,1.0099454820220848,1.0026294994260612,1.0026294994260612,-0.002492128410963937,-0.002492128410963937,-0.002492128410963937,-0.001749009280605099,-0.001749009280605099,-0.001749009280605099,-0.0007431191303588379,-0.0007431191303588379,-0.0007431191303588379,0.0,0.0,0.0,1.0001373710150971
2012-10-09,1.0026186834150004,0.9892566645810209,1.0094604347459326,1.0026186834150004,1.0026186834150004,-0.0023530062227103445,-0.0023530062227103445,-0.0023530062227103445,-0.001654024899532683,-0.001654024899532683,-0.001654024899532683,-0.0006989813231776615,-0.0006989813231776615,-0.0006989813231776615,0.0,0.0,0.0,1.00026567719229
2012-10-10,1.0026078674039398,0.9901566950570847,1.0098557263804298,1.0026078674039398,1.0026078674039398,-0.002381880216260994,-0.002381880216260994,-0.002381880216260994,-0.0017269117103098702,-0.0017269117103098702,-0.0017269117103098702,-0.0006549685059511243,-0.0006549685059511243,-0.0006549685059511243,0.0,0.0,0.0,1.0002259871876789
2012-10-12,1.0025862353818182,0.9909742688507905,1.009458037100588,1.0025862353818182,1.0025862353818182,-0.002361589612386906,-0.002361589612386906,-0.002361589612386906,-0.0017845210856230406,-0.0017845210856230406,-0.0017845210856230406,-0.0005770685267638649,-0.0005770685267638649,-0.0005770685267638649,0.0,0.0,0.0,1.0002246457694313
2012-10-15,1.002553787348636,0.9903957282720828,1.0102009967428935,1.002553787348636,1.002553787348636,-0.0022669485448635306,-0.0022669485448635306,-0.0022669485448635306,-0.0017490092806093749,-0.0017490092806093749,-0.0017490092806093749,-0.000517939264254156,-0.000517939264254156,-0.000517939264254156,0.0,0.0,0.0,1.0002868388037727
2012-10-19,1.0025105233043932,0.9898773670960475,1.0098313336920866,1.0025105233043932,1.0025105233043932,-0.002389216418595742,-0.002389216418595742,-0.002389216418595742,-0.0017845210856187908,-0.0017845210856187908,-0.0017845210856187908,-0.0006046953329769513,-0.0006046953329769513,-0.0006046953329769513,0.0,0.0,0.0,1.0001213068857975
2012-10-22,1.002478075271211,0.9897113203016659,1.0096567370701282,1.002478075271211,1.002478075271211,-0.0025459309474232866,-0.0025459309474232866,-0.0025459309474232866,-0.001749009280613652,-0.001749009280613652,-0.001749009280613652,-0.0007969216668096344,-0.0007969216668096344,-0.0007969216668096344,0.0,0.0,0.0,0.9999321443237877
2012-10-23,1.0024672592601502,0.9909559829995601,1.0097657433889997,1.0024672592601502,1.0024672592601502,-0.002532867517973953,-0.002532867517973953,-0.002532867517973953,-0.00165402489953501,-0.00165402489953501,-0.00165402489953501,-0.000878842618438943,-0.000878842618438943,-0.000878842618438943,0.0,0.0,0.0,0.9999343917421762
2012-10-25,1.0024456272380289,0.9894971551225802,1.009892580220805,1.0024456272380289,1.0024456272380289,-0.0027076372133703185,-0.0027076372133703185,-0.0027076372133703185,-0.0016514157764225361,-0.0016514157764225361,-0.0016514157764225361,-0.0010562214369477822,-0.0010562214369477822,-0.0010562214369477822,0.0,0.0,0.0,0.9997379900246586
