ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소
2012-08-31,0.9980029129667046,0.9811136012775347,1.003326322762195,0.9980029129667046,0.9980029129667046,-0.00549209194359598,-0.00549209194359598,-0.00549209194359598,-0.004326628845783524,-0.004326628845783524,-0.004326628845783524,-0.0011654630978124572,-0.0011654630978124572,-0.0011654630978124572,0.0,0.0,0.0,0.9925108210231086
2012-09-03,0.9979843225747934,0.9805015606057277,1.0035327316390263,0.9979843225747934,0.9979843225747934,-0.0056613977236647925,-0.0056613977236647925,-0.0056613977236647925,-0.004519495929455571,-0.004519495929455571,-0.004519495929455571,-0.0011419017942092204,-0.0011419017942092204,-0.0011419017942092204,0.0,0.0,0.0,0.9923229248511286
2012-09-06,0.9979657321828824,0.9803267389845136,1.0030834858191227,0.9979657321828824,0.9979657321828824,-0.005433016191206735,-0.005433016191206735,-0.005433016191206735,-0.004291792639835615,-0.004291792639835615,-0.004291792639835615,-0.0011412235513711202,-0.0011412235513711202,-0.0011412235513711202,0.0,0.0,0.0,0.9925327159916757
2012-09-07,0.9979595353855786,0.9804192159630054,1.0028485733757313,0.9979595353855786,0.9979595353855786,-0.005479625643858958,-0.005479625643858958,-0.005479625643858958,-0.0043266288457599255,-0.0043266288457599255,-0.0043266288457599255,-0.001152996798099032,-0.001152996798099032,-0.001152996798099032,0.0,0.0,0.0,0.9924799097417196
2012-09-14,0.9979161578044526,0.9814234507963128,1.0035606813112956,0.9979161578044526,0.9979161578044526,-0.005767306127412386,-0.005767306127412386,-0.005767306127412386,-0.0043266288457842,-0.0043266288457842,-0.0043266288457842,-0.001440677281628187,-0.001440677281628187,-0.001440677281628187,0.0,0.0,0.0,0.9921488516770403
2012-09-18,0.9978913706152378,0.9804690042111949,1.0020317295072363,0.9978913706152378,0.9978913706152378,-0.006244036430782104,-0.006244036430782104,-0.006244036430782104,-0.004551749711610431,-0.004551749711610431,-0.004551749711610431,-0.0016922867191716733,-0.0016922867191716733,-0.0016922867191716733,0.0,0.0,0.0,0.9916473341844557
2012-09-24,0.9978541898314155,0.9794653864747455,1.0022452796459633,0.9978541898314155,0.9978541898314155,-0.0064332221768928334,-0.0064332221768928334,-0.0064332221768928334,-0.004519495929466068,-0.004519495929466068,-0.004519495929466068,-0.0019137262474267656,-0.0019137262474267656,-0.0019137262474267656,0.0,0.0,0.0,0.9914209676545227
2012-09-25,0.9978479930341118,0.9806527641089524,1.0019830442786815,0.9978479930341118,0.9978479930341118,-0.006465256317636243,-0.006465256317636243,-0.006465256317636243,-0.004551749711612888,-0.004551749711612888,-0.004551749711612888,-0.0019135066060233547,-0.0019135066060233547,-0.0019135066060233547,0.0,0.0,0.0,0.9913827367164755
2012-09-26,0.997841796236808,0.9795208807514991,1.0029686950301864,0.997841796236808,0.997841796236808,-0.006898246869706126,-0.006898246869706126,-0.006898246869706126,-0.0049976503299121984,-0.0049976503299121984,-0.0049976503299121984,-0.0019005965397939262,-0.0019005965397939262,-0.0019005965397939262,0.0,0.0,0.0,0.9909435493671019
2012-09-28,0.9978294026422007,0.9811384032044878,1.0034481438717122,0.9978294026422007,0.9978294026422007,-0.006163459691367083,-0.006163459691367083,-0.006163459691367083,-0.004326628845797269,-0.004326628845797269,-0.004326628845797269,-0.0018368308455698138,-0.0018368308455698138,-0.0018368308455698138,0.0,0.0,0.0,0.9916659429508335
2012-10-02,0.9978046154529858,0.9795436189955772,1.0034720845196003,0.9978046154529858,0.9978046154529858,-0.006129103951618703,-0.006129103951618703,-0.006129103951618703,-0.004551749711616218,-0.004551749711616218,-0.004551749711616218,-0.001577354240002485,-0.001577354240002485,-0.001577354240002485,0.0,0.0,0.0,0.9916755115013671
2012-10-04,0.9977922218583783,0.9808916061927759,1.0033502972308503,0.9977922218583783,0.9977922218583783,-0.005695325161938988,-0.005695325161938988,-0.005695325161938988,-0.004291792639838379,-0.004291792639838379,-0.004291792639838379,-0.001403532522100608,-0.001403532522100608,-0.001403532522100608,0.0,0.0,0.0,0.9920968966964394
2012-10-05,0.9977860250610746,0.981341069671175,1.0033563751161279,0.9977860250610746,0.9977860250610746,-0.005638709256274337,-0.005638709256274337,-0.005638709256274337,-0.004326628845773672,-0.004326628845773672,-0.004326628845773672,-0.001312080410500665,-0.001312080410500665,-0.001312080410500665,0.0,0.0,0.0,0.9921473158048003
2012-10-08,0.9977674346691635,0.9813878985195462,1.0028894063458749,0.9977674346691635,0.9977674346691635,-0.005563869108091568,-0.005563869108091568,-0.005563869108091568,-0.004519495929429444,-0.004519495929429444,-0.004519495929429444,-0.001044373178662123,-0.001044373178662123,-0.001044373178662123,0.0,0.0,0.0,0.9922035655610719
2012-10-09,0.9977612378718598,0.9803921445802413,1.0031402451804086,0.9977612378718598,0.9977612378718598,-0.005515722673867641,-0.005515722673867641,-0.005515722673867641,-0.004551749711611897,-0.004551749711611897,-0.004551749711611897,-0.000963972962255745,-0.000963972962255745,-0.000963972962255745,0.0,0.0,0.0,0.9922455151979921
2012-10-10,0.997755041074556,0.9801341278854956,1.0031923352986334,0.997755041074556,0.997755041074556,-0.005888592417152879,-0.005888592417152879,-0.005888592417152879,-0.004997650329911967,-0.004997650329911967,-0.004997650329911967,-0.0008909420872409122,-0.0008909420872409122,-0.0008909420872409122,0.0,0.0,0.0,0.9918664486574031
2012-10-12,0.9977426474799487,0.9802670407505347,1.004232548653796,0.9977426474799487,0.9977426474799487,-0.005099097911835426,-0.005099097911835426,-0.005099097911835426,-0.004326628845797947,-0.004326628845797947,-0.004326628845797947,-0.0007724690660374787,-0.0007724690660374787,-0.0007724690660374787,0.0,0.0,0.0,0.9926435495681133
2012-10-15,0.9977240570880375,0.9823139772338664,1.0044874499292646,0.9977240570880375,0.9977240570880375,-0.005195620600498414,-0.005195620600498414,-0.005195620600498414,-0.0045194959294407745,-0.0045194959294407745,-0.0045194959294407745,-0.0006761246710576382,-0.0006761246710576382,-0.0006761246710576382,0.0,0.0,0.0,0.9925284364875391
2012-10-22,0.9976806795069114,0.9801689628362943,1.0034681729854162,0.9976806795069114,0.9976806795069114,-0.0053075232468678245,-0.0053075232468678245,-0.0053075232468678245,-0.004519495929452107,-0.004519495929452107,-0.004519495929452107,-0.0007880273174157177,-0.0007880273174157177,-0.0007880273174157177,0.0,0.0,0.0,0.9923731562600436
2012-10-25,0.9976620891150004,0.9809373674671067,1.003825010154575,0.9976620891150004,0.9976620891150004,-0.005179701447618685,-0.005179701447618685,-0.005179701447618685,-0.004291792639829378,-0.004291792639829378,-0.004291792639829378,-0.0008879088077893071,-0.0008879088077893071,-0.0008879088077893071,0.0,0.0,0.0,0.9924823876673817
2012-10-30,0.9976311051284819,0.9797409927867434,1.004050668505516,0.9976311051284819,0.9976311051284819,-0.00548129830799226,-0.00548129830799226,-0.00548129830799226,-0.0045517497116065835,-0.0045517497116065835,-0.0045517497116065835,-0.000929548596385677,-0.000929548596385677,-0.000929548596385677,0.0,0.0,0.0,0.9921498068204896
2012-10-31,0.997624908331178,0.980529578726621,1.002186001229747,0.997624908331178,0.997624908331178,-0.00590333729930089,-0.00590333729930089,-0.00590333729930089,-0.004997650329911957,-0.004997650329911957,-0.004997650329911957,-0.0009056869693889331,-0.0009056869693889331,-0.0009056869693889331,0.0,0.0,0.0,0.9917215710318771
2012-11-09,0.9975691371554446,0.9827636443864356,1.0042413847145462,0.9975691371554446,0.9975691371554446,-0.004533965237324185,-0.004533965237324185,-0.004533965237324185,-0.004326628845788607,-0.004326628845788607,-0.004326628845788607,-0.0002073363915355779,-0.0002073363915355779,-0.0002073363915355779,0.0,0.0,0.0,0.9930351719181204
2012-11-14,0.997538153168926,0.9812962371250881,1.003226461065766,0.997538153168926,0.997538153168926,-0.004722651492517013,-0.004722651492517013,-0.004722651492517013,-0.004997650329912406,-0.004997650329912406,-0.004997650329912406,0.00027499883739539303,0.00027499883739539303,0.00027499883739539303,0.0,0.0,0.0,0.992815501676409
2012-11-23,0.9974823819931926,0.9822894385350823,1.0043389571295651,0.9974823819931926,0.9974823819931926,-0.003925029950980637,-0.003925029950980637,-0.003925029950980637,-0.004326628845766196,-0.004326628845766196,-0.004326628845766196,0.00040159889478555877,0.00040159889478555877,0.00040159889478555877,0.0,0.0,0.0,0.993557352042212
2012-11-28,0.997451398006674,0.981596281192902,1.0047091527628413,0.997451398006674,0.997451398006674,-0.0049384082291633385,-0.0049384082291633385,-0.0049384082291633385,-0.0049976503299121715,-0.0049976503299121715,-0.0049976503299121715,5.924210074883387e-05,5.924210074883387e-05,5.924210074883387e-05,0.0,0.0,0.0,0.9925129897775107
2012-12-05,0.9974080204255481,0.9797425630576159,1.0031800558816473,0.9974080204255481,0.9974080204255481,-0.005275554224018725,-0.005275554224018725,-0.005275554224018725,-0.004997650329912318,-0.004997650329912318,-0.004997650329912318,-0.0002779038941064065,-0.0002779038941064065,-0.0002779038941064065,0.0,0.0,0.0,0.9921324662015294
2012-12-06,0.9974018236282443,0.9814520238912062,1.0042306768436442,0.9974018236282443,0.9974018236282443,-0.0045606792830941755,-0.0045606792830941755,-0.0045606792830941755,-0.004291792639833246,-0.004291792639833246,-0.004291792639833246,-0.00026888664326092914,-0.00026888664326092914,-0.00026888664326092914,0.0,0.0,0.0,0.99284114434515
2012-12-07,0.9973956268309406,0.9821867529825065,1.004349144467265,0.9973956268309406,0.9973956268309406,-0.004567536560162359,-0.004567536560162359,-0.004567536560162359,-0.004326628845779265,-0.004326628845779265,-0.004326628845779265,-0.0002409077143830942,-0.0002409077143830942,-0.0002409077143830942,0.0,0.0,0.0,0.9928280902707782
2012-12-11,0.9973708396417258,0.9810978729376987,1.0039051506482068,0.9973708396417258,0.9973708396417258,-0.004491068870118154,-0.004491068870118154,-0.004491068870118154,-0.004551749711623943,-0.004551749711623943,-0.004551749711623943,6.068084150578866e-05,6.068084150578866e-05,6.068084150578866e-05,0.0,0.0,0.0,0.9928797707716076
2012-12-20,0.9973150684659923,0.9834293858354818,1.0053618758253684,0.9973150684659923,0.9973150684659923,-0.0029405352980438697,-0.0029405352980438697,-0.0029405352980438697,-0.004291792639841828,-0.004291792639841828,-0.004291792639841828,0.001351257341797958,0.001351257341797958,0.001351257341797958,0.0,0.0,0.0,0.9943745331679484
2012-12-28,0.9972654940875626,0.9832931145859326,1.005777531781383,0.9972654940875626,0.9972654940875626,-0.0025657192430736885,-0.0025657192430736885,-0.0025657192430736885,-0.004326628845804217,-0.004326628845804217,-0.004326628845804217,0.0017609096027305293,0.0017609096027305293,0.0017609096027305293,0.0,0.0,0.0,0.9946997748444889
