ActCode,NoticeDate,발주청,시도,G2B공고번호,공고일연,공고일월,공고일일,공고일요일(개선),BidOpenDateTime,입찰일연,입찰일월,입찰일일,입찰일요일,연면적,대지면적,예가율,예정가격,세대수,기초금액,최신_1순위,낙찰하한율,참여업체수,중간값
HousingAct,2022-07-14,서울특별시 서초구,서울특별시 ,20220716256,2022,7,14,목,2022. 7. 25,2022,7,25,월,"75,558","7,601",1.005948,"3,397,127,000",835,"3,377,042,000.00",,0.8045,86,#N/A
HousingAct,2022-07-13,경기도 양주시,경기도 ,20220715947,2022,7,13,수,2022. 7. 22,2022,7,22,금,"71,324","9,982",1.009190,,427,"1,725,872,660.00",1.0094918,0.8295,80,1.009341
HousingAct,2022-07-11,충청남도 홍성군,충청남도 ,20220712050,2022,7,11,월,2022. 7. 21,2022,7,21,목,"82,440","24,025",0.993055,,470,"2,043,800,521.00",0.9932582,0.8295,88,0.993157
HousingAct,2022-07-08,경기도 용인시,경기도 ,20220709546,2022,7,8,금,2022. 7. 21,2022,7,21,목,"65,825","16,268",1.003508,,378,"1,721,992,213.00",1.00408,0.8295,76,1.003794
HousingAct,2022-07-12,대구광역시,대구광역시,20220713644,2022,7,12,화,2022. 7. 21,2022,7,21,목,"109,668","9,283",0.989050,,540,"3,487,402,271.00",0.9892298,0.8045,96,0.989140
HousingAct,2022-07-08,경기도 의왕시,경기도 ,20220642641,2022,7,8,금,2022. 7. 19,2022,7,19,화,"148,228","52,642",0.989215,,900,"3,292,843,000.00",0.9892566,0.8045,86,0.989236
HousingAct,2022-07-07,경기도 평택시,경기도 ,20220708934,2022,7,7,목,2022. 7. 19,2022,7,19,화,"218,441","88,191",1.010273,,1255,"3,655,344,430.00",1.0120504,0.7295,59,1.011161
HousingAct,2022-07-06,경상남도 창원시,경상남도 ,20220703982,2022,7,6,수,2022. 7. 19,2022,7,19,화,"170,523","59,422",0.990970,,998,"4,292,311,251.00",0.9914637,0.8045,86,0.991217
HousingAct,2022-07-06,경상남도 창원시,경상남도 ,20220703909,2022,7,6,수,2022. 7. 19,2022,7,19,화,"165,975","53,120",1.010045,,967,"4,124,085,067.00",1.0114393,0.8045,86,1.010742
HousingAct,2022-07-04,부산광역시 사상구,부산광역시 ,20220636801,2022,7,4,월,2022. 7. 18,2022,7,18,월,"139,161","47,838",0.995850,,840,"4,232,348,397.00",0.9958518,0.8045,90,0.995851
HousingAct,2022-07-06,전라북도 군산시,전라북도 ,20220705164,2022,7,6,수,2022. 7. 15,2022,7,15,금,"128,069","35,431",0.985925,,704,"3,257,719,592.00",0.9874248,0.8045,91,0.986675
HousingAct,2022-07-04,인천광역시 경제자유구역청,인천광역시 ,20220703007,2022,7,4,월,2022. 7. 15,2022,7,15,금,"113,280","42,347",1.006245,,670,"2,550,079,715.00",1.0065804,0.8045,96,1.006413
HousingAct,2022-07-04,인천광역시 경제자유구역청,인천광역시 ,20220703064,2022,7,4,월,2022. 7. 15,2022,7,15,금,"101,192","34,541",0.985348,,560,"2,425,661,637.00",0.9862349,0.8045,95,0.985791
HousingAct,2022-07-01,경기도 이천시,경기도 ,20220642424,2022,7,1,금,2022. 7. 13,2022,7,13,수,"157,599","45,553",0.996838,,937,"4,084,826,269.00",0.9968771,0.8045,91,0.996857
HousingAct,2022-07-01,경기도 이천시,경기도 ,20220642351,2022,7,1,금,2022. 7. 13,2022,7,13,수,"134,447","38,619",0.995143,,885,"3,505,517,944.00",0.9954034,0.8045,90,0.995273
HousingAct,2022-07-05,제주특별자치도 제주시,제주특별자치도 ,20220704519,2022,7,5,화,2022. 7. 12,2022,7,12,화,"10,876","8,423",0.988893,,90,"501,567,600.00",0.9941202,0.8495,15,0.991506
HousingAct,2022-06-23,서울특별시 은평구,서울특별시 ,20220632210,2022,6,23,목,2022. 7. 12,2022,7,12,화,"363,149","111,665",0.993713,,2451,"7,788,687,000.00",0.9964,0.7295,21,0.995056
HousingAct,2022-06-30,서울특별시 중랑구,서울특별시 ,20220642963,2022,6,30,목,2022. 7. 12,2022,7,12,화,"21,764","1,594",1.000850,,351,"827,649,000.00",1.0012412,0.8295,9,1.001046
HousingAct,2022-06-29,경기도 용인시,경기도 ,20220640664,2022,6,29,수,2022. 7. 11,2022,7,11,월,"42,823","9,667",1.010158,,225,"1,493,099,207.00",1.0115203,0.8495,92,1.010839
HousingAct,2022-06-28,울산광역시 남구,울산광역시 ,20220639155,2022,6,28,화,2022. 7. 8,2022,7,8,금,"72,957","11,760",0.998460,,402,"1,658,667,561.00",0.9986214,0.8295,77,0.998541
HousingAct,2022-06-29,대구광역시,대구광역시,20220640190,2022,6,29,수,2022. 7. 8,2022,7,8,금,"155,562","19,239",1.009845,,677,"4,108,558,131.00",1.0100002,0.8045,93,1.009923
HousingAct,2022-06-22,부산광역시 연제구,부산광역시 ,20220631818,2022,6,22,수,2022. 7. 4,2022,7,4,월,"53,245","15,090",0.984733,,334,"1,288,664,226.00",0.9871547,0.8295,47,0.985944
HousingAct,2022-06-22,서울특별시 강북구,서울특별시 ,20220631730,2022,6,22,수,2022. 7. 4,2022,7,4,월,"20,613","1,895",1.009673,,426,"774,217,997.00",1.0170609,0.8295,2,1.013367
HousingAct,2022-06-22,충청남도 아산시,충청남도 ,20220628156,2022,6,22,수,2022. 7. 4,2022,7,4,월,"81,972","29,258",0.988565,,438,"1,958,108,567.00",0.9886988,0.8295,90,0.988632
HousingAct,2022-06-21,전라남도 장흥군,전라남도 ,20220626697,2022,6,21,화,2022. 7. 4,2022,7,4,월,"46,911","16,710",0.997863,,295,"982,705,251.00",0.9983874,0.8495,35,0.998125
HousingAct,2022-06-22,대전광역시,대전광역시,20220632235,2022,6,22,수,2022. 7. 1,2022,7,1,금,"166,761","45,088",1.002383,,1029,"2,741,234,960.00",1.0031195,0.7295,51,1.002751
HousingAct,2022-06-22,대전광역시,대전광역시,20220632359,2022,6,22,수,2022. 7. 1,2022,7,1,금,"114,082","31,211",0.996365,,725,"1,864,903,860.00",0.9966006,0.8045,83,0.996483
HousingAct,2022-06-21,인천광역시 계양구,인천광역시 ,20220630884,2022,6,21,화,2022. 7. 1,2022,7,1,금,"57,187","13,004",0.995855,,340,"1,742,839,420.00",0.9960598,0.8295,89,0.995957
HousingAct,2022-06-22,경기도 화성시,경기도 ,20220632349,2022,6,22,수,2022. 7. 1,2022,7,1,금,"37,876","24,028",0.999843,,166,"1,213,634,822.00",0.9999999,0.8495,69,0.999921
HousingAct,2022-06-20,충청남도 예산군,충청남도 ,20220625755,2022,6,20,월,2022. 6. 30,2022,6,30,목,"135,884","40,154",0.991983,,601,"2,175,023,128.00",0.9922351,0.8045,80,0.992109
HousingAct,2022-06-15,서울특별시 동작구,서울특별시 ,20220620512,2022,6,15,수,2022. 6. 27,2022,6,27,월,"90,540","13,843",1.012875,,608,"3,024,525,177.00",1.0143593,0.8045,94,1.013617
HousingAct,2022-06-15,강원도 강릉시,강원도 ,20220617861,2022,6,15,수,2022. 6. 27,2022,6,27,월,"44,380","12,116",0.995340,,176,"1,271,540,252.00",0.995766,0.8495,64,0.995553
HousingAct,2022-06-15,인천광역시 계양구,인천광역시 ,20220615544,2022,6,15,수,2022. 6. 24,2022,6,24,금,"194,392","48,025",0.999508,,1370,"4,800,329,030.00",0.99998,0.7295,66,0.999744
HousingAct,2022-06-14,인천광역시 서구,인천광역시 ,20220616152,2022,6,14,화,2022. 6. 24,2022,6,24,금,"152,551","46,063",0.992995,,875,"3,206,592,466.00",0.9930982,0.8045,83,0.993047
HousingAct,2022-06-15,강원도 속초시,강원도 ,20220621965,2022,6,15,수,2022. 6. 24,2022,6,24,금,"98,565","8,387",1.010325,,546,"2,320,825,960.00",1.013767,0.8045,85,1.012046
